Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.0,0.764,0.728,0.728,0.476633,378125
1980-03-18,0.0,0.728,0.708,0.72,0.471396,215625
1980-03-19,0.0,0.736,0.72,0.72,0.471396,153125
1980-03-20,0.0,0.728,0.72,0.72,0.471396,43750
1980-03-21,0.0,0.72,0.688,0.688,0.450445,556250
1980-03-24,0.0,0.692,0.632,0.64,0.419018,384375
1980-03-25,0.0,0.624,0.592,0.616,0.403305,325000
1980-03-26,0.0,0.64,0.62,0.64,0.419018,100000
1980-03-27,0.0,0.624,0.596,0.604,0.395448,512500
1980-03-28,0.0,0.64,0.616,0.64,0.419018,246875
1980-03-31,0.0,0.64,0.628,0.64,0.419018,62500
1980-04-01,0.0,0.648,0.64,0.64,0.419018,50000
1980-04-02,0.0,0.664,0.64,0.656,0.429494,128125
1980-04-03,0.0,0.664,0.648,0.648,0.424256,128125
1980-04-07,0.0,0.644,0.62,0.62,0.405924,265625
1980-04-08,0.0,0.632,0.616,0.632,0.413781,96875
1980-04-09,0.0,0.644,0.636,0.64,0.419018,50000
1980-04-10,0.0,0.656,0.64,0.656,0.429494,53125
1980-04-11,0.0,0.656,0.644,0.652,0.426875,243750
1980-04-14,0.0,0.644,0.632,0.632,0.413781,162500
1980-04-15,0.0,0.64,0.624,0.624,0.408543,37500
1980-04-16,0.0,0.645,0.625,0.63,0.412471,142500
1980-04-17,0.0,0.625,0.61,0.62,0.405924,182500
1980-04-18,0.0,0.63,0.605,0.605,0.396103,397500
1980-04-21,0.0,0.615,0.605,0.605,0.396103,25000
1980-04-22,0.0,0.645,0.61,0.645,0.422292,390000
1980-04-23,0.0,0.655,0.64,0.655,0.428839,505000
1980-04-24,0.0,0.655,0.64,0.645,0.422292,232500
1980-04-25,0.0,0.65,0.64,0.65,0.425565,147500
1980-04-28,0.0,0.665,0.65,0.66,0.432113,167500
1980-04-29,0.0,0.665,0.655,0.655,0.428839,35000
1980-04-30,0.0,0.665,0.65,0.66,0.432113,102500
