Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.0,35.125,34.3125,34.3125,1.027578,5800
1962-01-03,0.0,34.75,34.0625,34.25,1.025707,10200
1962-01-04,0.0,34.3125,33.75,33.75,1.010732,8800
1962-01-05,0.0,33.625,32.625,33.0,0.988272,11400
1962-01-08,0.0,33.1875,32.0,32.75,0.980785,17200
1962-01-09,0.0,32.8125,32.375,32.5,0.973297,8800
1962-01-10,0.0,33.0,32.625,33.0,0.988272,7400
1962-01-11,0.0,33.0,32.625,32.9375,0.9864,15400
1962-01-12,0.0,33.4375,33.0,33.4375,1.001374,7800
1962-01-15,0.0,33.25,33.0,33.0,0.988272,11000
1962-01-16,0.0,33.0,32.75,32.875,0.984528,7400
1962-01-17,0.0,33.3125,32.9375,32.9375,0.9864,8000
1962-01-18,0.0,33.375,32.875,33.125,0.992016,14000
1962-01-19,0.0,33.375,33.0625,33.125,0.992016,6800
1962-01-22,0.0,33.25,32.8125,32.875,0.984528,7600
1962-01-23,0.0,33.0625,32.8125,32.875,0.984528,9200
1962-01-24,0.0,32.9375,32.6875,32.9375,0.9864,6600
1962-01-25,0.0,33.0,32.75,32.875,0.984528,7000
1962-01-26,0.0,33.125,32.4375,32.4375,0.971426,9000
1962-01-29,0.0,32.375,32.0625,32.3125,0.967683,5400
1962-01-30,0.0,32.4375,32.1875,32.4375,0.971426,7000
1962-01-31,0.0,32.5,32.375,32.5,0.973297,8400
1962-02-01,0.0,32.6875,32.375,32.625,0.977041,10600
1962-02-02,0.0,32.6875,32.4375,32.5,0.973297,13200
1962-02-05,0.0,32.75,32.375,32.5625,0.97517,16200
1962-02-06,0.0,32.875,32.5,32.875,0.984528,13000
1962-02-07,0.0,33.75,33.3125,33.625,1.006989,9400
1962-02-08,0.0,34.5,33.875,34.375,1.029449,9800
1962-02-09,0.0,34.5,34.125,34.5,1.033194,5800
1962-02-12,0.0,34.4375,34.3125,34.375,1.029449,1400
1962-02-13,0.0,34.5625,34.125,34.375,1.029449,12200
1962-02-14,0.0,34.625,34.125,34.5,1.033194,10000
1962-02-15,0.0,35.3125,34.625,35.25,1.055654,8000
1962-02-16,0.0,35.25,34.9375,34.9375,1.046295,5400
1962-02-19,0.0,35.0,34.6875,34.6875,1.038808,6000
1962-02-20,0.0,34.9375,34.375,34.9375,1.046295,7800
1962-02-21,0.0,35.0625,34.75,34.75,1.04068,2800
1962-02-23,0.0,34.9375,34.5625,34.8125,1.042551,9400
1962-02-26,0.0,34.75,34.5625,34.6875,1.038808,3400
1962-02-27,0.0,34.8125,34.625,34.625,1.036937,4600
1962-02-28,0.0,34.6875,34.25,34.25,1.025707,7000
1962-03-01,0.0,34.5,34.3125,34.5,1.033194,4200
1962-03-02,0.0,34.875,34.5,34.875,1.044424,3600
1962-03-05,0.0,35.0625,34.375,34.5,1.033194,8600
1962-03-06,0.0,34.4375,34.1875,34.3125,1.027578,4000
1962-03-07,0.0,34.4375,34.125,34.4375,1.031321,7400
1962-03-08,0.0,35.5625,34.5,35.5625,1.065012,14400
1962-03-09,0.0,35.75,35.375,35.75,1.070629,5600
1962-03-12,0.0,35.75,35.5,35.5,1.063141,4800
1962-03-13,0.0,35.6875,35.375,35.6875,1.068756,5000
1962-03-14,0.0,36.0,35.625,35.8125,1.072499,5800
1962-03-15,0.0,35.875,35.5625,35.5625,1.065012,3600
