Date,Open,High,Low,Close,Adj Close,Volume
1993-05-12,5.291667,5.291667,5.020833,5.041667,1.817252,414000
1993-05-13,5.0,5.0,4.791667,4.854167,1.749668,792600
1993-05-14,4.875,4.875,4.791667,4.791667,1.72714,646200
1993-05-17,4.833333,4.895833,4.833333,4.895833,1.764687,68400
1993-05-18,4.895833,4.895833,4.833333,4.854167,1.749668,69000
1993-05-19,4.854167,4.875,4.854167,4.875,1.757177,72000
1993-05-20,4.875,4.895833,4.854167,4.875,1.757177,118800
1993-05-21,4.875,4.875,4.875,4.875,1.757177,13200
1993-05-24,4.833333,4.833333,4.833333,4.833333,1.742158,32400
1993-05-25,4.8125,4.854167,4.8125,4.8125,1.734649,241800
1993-05-26,4.854167,4.895833,4.854167,4.875,1.757177,452400
1993-05-27,4.916667,4.9375,4.895833,4.916667,1.772196,1450200
1993-05-28,4.875,4.895833,4.854167,4.895833,1.764687,928800
1993-06-01,4.916667,4.979167,4.916667,4.958333,1.787214,736200
1993-06-02,4.958333,4.979167,4.895833,4.895833,1.764687,1058400
1993-06-03,4.895833,4.895833,4.75,4.770833,1.719631,4777200
1993-06-04,4.75,4.75,4.708333,4.708333,1.697103,1055400
1993-06-07,4.708333,4.708333,4.541667,4.583333,1.652047,4597200
1993-06-08,4.604167,4.666667,4.583333,4.583333,1.652047,3877800
1993-06-09,4.625,4.6875,4.625,4.666667,1.682085,3098400
1993-06-10,4.666667,4.666667,4.625,4.645833,1.674575,2763000
1993-06-11,4.666667,4.6875,4.625,4.6875,1.689593,2770800
1993-06-14,4.708333,4.708333,4.666667,4.6875,1.689593,1930200
1993-06-15,4.6875,4.6875,4.645833,4.645833,1.674575,3057000
1993-06-16,4.645833,4.666667,4.645833,4.666667,1.682085,2034000
1993-06-17,4.666667,4.666667,4.645833,4.666667,1.682085,2418000
1993-06-18,4.666667,4.8125,4.541667,4.583333,1.652047,6013800
1993-06-21,4.5625,4.583333,4.520833,4.5625,1.644538,5697600
1993-06-22,4.645833,4.666667,4.583333,4.625,1.667066,4002000
1993-06-23,4.583333,4.604167,4.5625,4.5625,1.644538,1074600
1993-06-24,4.5625,4.583333,4.541667,4.5625,1.644538,1030800
1993-06-25,4.583333,4.604167,4.583333,4.604167,1.659556,814800
1993-06-28,4.625,4.645833,4.604167,4.625,1.667066,723000
1993-06-29,4.625,4.666667,4.625,4.645833,1.674575,736200
1993-06-30,4.6875,4.708333,4.666667,4.6875,1.689593,1228800
1993-07-01,4.6875,4.729167,4.666667,4.729167,1.704612,3960000
1993-07-02,4.75,4.75,4.666667,4.6875,1.689593,712800
1993-07-06,4.666667,4.666667,4.604167,4.625,1.667066,343800
1993-07-07,4.625,4.645833,4.5625,4.583333,1.652047,2212800
1993-07-08,4.5625,4.604167,4.5625,4.583333,1.652047,982200
1993-07-09,4.583333,4.583333,4.520833,4.541667,1.637028,819000
1993-07-12,4.541667,4.5625,4.520833,4.5625,1.644538,429600
1993-07-13,4.5625,4.604167,4.5625,4.604167,1.659556,534000
1993-07-14,4.645833,4.6875,4.625,4.6875,1.689593,681000
1993-07-15,4.6875,4.6875,4.625,4.645833,1.674575,678000
1993-07-16,4.583333,4.583333,4.541667,4.5625,1.644538,214200
1993-07-19,4.541667,4.5625,4.5,4.5,1.62201,3529800
1993-07-20,4.520833,4.541667,4.5,4.520833,1.629519,1555800
1993-07-21,4.479167,4.5,4.479167,4.5,1.62201,644400
1993-07-22,4.5,4.520833,4.479167,4.479167,1.614501,400800
1993-07-23,4.5625,4.625,4.5625,4.604167,1.659556,1006800
1993-07-26,4.625,4.645833,4.625,4.625,1.667066,745800
1993-07-27,4.666667,4.666667,4.625,4.625,1.667066,610200
1993-07-28,4.625,4.666667,4.604167,4.645833,1.674575,508800
1993-07-29,4.770833,4.8125,4.75,4.770833,1.719631,1324800
1993-07-30,4.708333,4.708333,4.666667,4.708333,1.697103,1246200
1993-08-02,4.708333,4.729167,4.666667,4.708333,1.697103,4412400
1993-08-03,4.729167,4.833333,4.729167,4.833333,1.742158,748800
1993-08-04,4.833333,4.854167,4.791667,4.791667,1.72714,230400
1993-08-05,4.791667,4.8125,4.770833,4.8125,1.734649,655800
1993-08-06,4.854167,4.895833,4.854167,4.875,1.757177,433800
1993-08-09,4.854167,4.895833,4.833333,4.854167,1.749668,736800
1993-08-10,4.833333,4.833333,4.75,4.770833,1.719631,636000
1993-08-11,4.770833,4.791667,4.770833,4.770833,1.719631,464400
1993-08-12,4.770833,4.791667,4.75,4.75,1.712123,1252800
1993-08-13,4.791667,4.854167,4.770833,4.854167,1.749668,508200
1993-08-16,4.833333,4.875,4.833333,4.854167,1.749668,924600
1993-08-17,4.875,4.979167,4.875,4.979167,1.794724,616200
1993-08-18,5.166667,5.229167,5.145833,5.208333,1.877326,1184400
1993-08-19,5.229167,5.270833,5.166667,5.25,1.892345,804000
1993-08-20,5.25,5.291667,5.229167,5.270833,1.899854,2332800
1993-08-23,5.25,5.25,5.229167,5.229167,1.884836,85800
1993-08-24,5.229167,5.229167,5.166667,5.208333,1.877326,210000
1993-08-25,5.229167,5.270833,5.229167,5.229167,1.884836,220800
1993-08-26,5.270833,5.354167,5.270833,5.354167,1.929891,969000
1993-08-27,5.354167,5.395833,5.3125,5.3125,1.914873,424800
1993-08-30,5.333333,5.333333,5.291667,5.291667,1.907364,270000
1993-08-31,5.270833,5.3125,5.25,5.3125,1.914873,456000
1993-09-01,5.375,5.5,5.375,5.375,1.9374,505200
1993-09-02,5.729167,5.75,5.645833,5.666667,2.042531,2734200
1993-09-03,5.6875,5.75,5.6875,5.729167,2.065059,150000
1993-09-07,5.75,5.854167,5.75,5.791667,2.087587,1117800
1993-09-08,5.770833,5.770833,5.645833,5.666667,2.042531,531000
1993-09-09,5.666667,5.75,5.625,5.666667,2.042531,898800
1993-09-10,5.625,5.625,5.583333,5.604167,2.020003,231600
1993-09-13,5.5625,5.583333,5.479167,5.479167,1.974947,500400
1993-09-14,5.583333,5.6875,5.583333,5.6875,2.05004,774000
1993-09-15,5.625,5.625,5.583333,5.604167,2.020003,447600
1993-09-16,5.583333,5.583333,5.520833,5.583333,2.012493,1084800
1993-09-17,5.583333,5.645833,5.5625,5.625,2.027512,1108800
1993-09-20,5.604167,5.625,5.4375,5.458333,1.967438,536400
1993-09-21,5.520833,5.5625,5.333333,5.375,1.9374,885600
1993-09-22,5.5,5.625,5.5,5.604167,2.020003,527400
1993-09-23,5.5625,5.5625,5.479167,5.479167,1.974947,954000
1993-09-24,5.3125,5.395833,5.291667,5.395833,1.979778,445800
1993-09-27,5.375,5.416667,5.375,5.395833,1.979778,2172000
1993-09-28,5.395833,5.416667,5.395833,5.395833,1.979778,926400
1993-09-29,5.395833,5.395833,5.354167,5.395833,1.979778,1026000
1993-09-30,5.354167,5.416667,5.354167,5.375,1.972134,21880200
1993-10-01,5.375,5.458333,5.375,5.458333,2.00271,512400
1993-10-04,5.5,5.520833,5.458333,5.5,2.017998,1768800
1993-10-05,5.541667,5.5625,5.541667,5.541667,2.033285,751800
