Date,Open,High,Low,Close,Adj Close,Volume
1993-03-12,2.291667,2.75,2.25,2.645833,2.39047,28573200
1993-03-15,2.6875,2.708333,2.583333,2.614583,2.362236,6580800
1993-03-16,2.583333,2.625,2.520833,2.552083,2.305769,3928800
1993-03-17,2.520833,2.5625,2.416667,2.458333,2.221067,3170400
1993-03-18,2.520833,2.541667,2.458333,2.541667,2.296358,735600
1993-03-19,2.479167,2.541667,2.479167,2.520833,2.277535,542400
1993-03-22,2.5,2.541667,2.375,2.375,2.145776,1749600
1993-03-23,2.416667,2.541667,2.333333,2.541667,2.296358,2000400
1993-03-24,2.5,2.541667,2.416667,2.479167,2.23989,1009200
1993-03-25,2.479167,2.479167,2.375,2.375,2.145776,1035600
1993-03-26,2.416667,2.416667,2.375,2.375,2.145776,1326000
1993-03-29,2.416667,2.458333,2.333333,2.364583,2.136365,518400
1993-03-30,2.416667,2.416667,2.333333,2.375,2.145776,649200
1993-03-31,2.375,2.375,2.3125,2.3125,2.089309,1665600
1993-04-01,2.3125,2.375,2.291667,2.3125,2.089309,316800
1993-04-02,2.3125,2.3125,2.145833,2.208333,1.995196,1820400
1993-04-05,2.229167,2.291667,2.145833,2.25,2.032842,1450800
1993-04-06,2.333333,2.333333,2.25,2.25,2.032842,1084800
1993-04-07,2.208333,2.270833,2.166667,2.166667,1.957551,1216800
1993-04-08,2.145833,2.229167,2.104167,2.125,1.919906,990000
1993-04-12,2.083333,2.125,2.0625,2.104167,1.901083,1232400
1993-04-13,2.083333,2.125,2.020833,2.041667,1.844616,2005200
1993-04-14,2.083333,2.125,2.041667,2.125,1.919906,3022800
1993-04-15,2.125,2.125,2.0625,2.0625,1.863438,412800
1993-04-16,2.0625,2.125,2.0625,2.0625,1.863438,188400
1993-04-19,2.104167,2.104167,2.041667,2.041667,1.844616,628800
1993-04-20,2.041667,2.083333,2.041667,2.041667,1.844616,214800
1993-04-21,2.083333,2.083333,2.0,2.020833,1.825792,588000
1993-04-22,2.0625,2.125,2.020833,2.125,1.919906,382800
1993-04-23,2.145833,2.145833,2.0625,2.145833,1.938729,118800
1993-04-26,2.145833,2.145833,2.0625,2.0625,1.863438,187200
1993-04-27,2.104167,2.291667,2.041667,2.291667,2.070487,1040400
1993-04-28,2.291667,2.291667,2.229167,2.270833,2.051664,348000
1993-04-29,2.229167,2.229167,2.1875,2.229167,2.014019,319200
1993-04-30,2.208333,2.354167,2.208333,2.291667,2.070487,1194000
1993-05-03,2.291667,2.416667,2.291667,2.416667,2.183423,499200
1993-05-04,2.416667,2.416667,2.354167,2.416667,2.183423,242400
1993-05-05,2.354167,2.625,2.354167,2.541667,2.296358,1215600
1993-05-06,2.541667,2.583333,2.4375,2.479167,2.23989,598800
1993-05-07,2.479167,2.583333,2.479167,2.520833,2.277535,472800
1993-05-10,2.520833,2.645833,2.520833,2.583333,2.334003,349200
1993-05-11,2.625,2.625,2.5625,2.5625,2.31518,391200
1993-05-12,2.5625,2.604167,2.5625,2.5625,2.31518,145200
