Date,Open,High,Low,Close,Adj Close,Volume
2020-09-18,10.25,10.25,9.82,9.89,9.89,564300
2020-09-21,9.9,9.96,9.86,9.86,9.86,762800
2020-09-22,9.96,9.96,9.85,9.88,9.88,1280800
2020-09-23,9.9,9.905,9.79,9.85,9.85,192600
2020-09-24,9.85,9.85,9.75,9.77,9.77,605500
2020-09-25,9.77,9.85,9.77,9.81,9.81,692500
2020-09-28,9.9,9.94,9.83,9.83,9.83,72300
2020-09-29,9.88,9.88,9.76,9.78,9.78,189600
2020-09-30,9.85,9.85,9.77,9.78,9.78,546200
2020-10-01,9.85,9.85,9.74,9.76,9.76,1068500
2020-10-02,9.73,9.8,9.73,9.74,9.74,3925700
2020-10-05,9.8,9.8,9.69,9.71,9.71,3148000
2020-10-06,9.74,9.75,9.67,9.68,9.68,1902400
2020-10-07,9.72,9.75,9.67,9.71,9.71,1325400
2020-10-08,9.7,9.75,9.7,9.717,9.717,550300
2020-10-09,9.76,9.77,9.722,9.75,9.75,2401500
2020-10-12,9.82,9.82,9.73,9.73,9.73,172300
2020-10-13,9.85,9.85,9.67,9.7,9.7,1623900
2020-10-14,9.75,9.77,9.68,9.68,9.68,2177900
2020-10-15,9.67,9.72,9.65,9.68,9.68,348000
2020-10-16,9.69,9.705,9.67,9.68,9.68,305000
2020-10-19,9.71,9.73,9.677,9.68,9.68,348700
2020-10-20,9.71,9.74,9.67,9.67,9.67,78200
2020-10-21,9.73,9.73,9.65,9.66,9.66,292300
2020-10-22,9.66,9.67,9.63,9.65,9.65,1441900
2020-10-23,9.65,9.7,9.63,9.63,9.63,2067800
2020-10-26,9.65,9.66,9.64,9.65,9.65,2394800
2020-10-27,9.65,9.7,9.64,9.65,9.65,304100
2020-10-28,9.74,9.74,9.63,9.65,9.65,1571500
2020-10-29,9.66,9.7,9.62,9.65,9.65,1652900
2020-10-30,9.65,9.69,9.6,9.63,9.63,1154300
2020-11-02,9.63,9.64,9.6,9.63,9.63,716700
2020-11-03,9.63,9.7,9.62,9.69,9.69,189800
2020-11-04,9.7,9.73,9.68,9.69,9.69,509800
2020-11-05,9.76,9.78,9.73,9.77,9.77,1534500
2020-11-06,9.79,9.79,9.72,9.72,9.72,1444000
2020-11-09,9.7,9.725,9.66,9.67,9.67,163500
2020-11-10,9.66,9.8,9.66,9.7,9.7,714700
2020-11-11,9.69,9.74,9.66,9.68,9.68,724500
2020-11-12,9.67,9.72,9.67,9.7,9.7,1502000
2020-11-13,9.74,9.74,9.69,9.69,9.69,754800
2020-11-16,9.7,9.73,9.685,9.7,9.7,151300
2020-11-17,9.72,9.72,9.69,9.71,9.71,46000
2020-11-18,9.74,9.74,9.67,9.74,9.74,301700
2020-11-19,9.75,9.8,9.7,9.72,9.72,44500
2020-11-20,9.71,9.735,9.69,9.71,9.71,995900
2020-11-23,9.79,9.79,9.71,9.75,9.75,134400
2020-11-24,9.78,9.78,9.7,9.76,9.76,57200
2020-11-25,9.76,9.766,9.7,9.76,9.76,1332400
2020-11-27,9.8,9.85,9.77,9.83,9.83,416200
2020-11-30,9.88,9.9,9.826,9.88,9.88,1623700
2020-12-01,9.87,9.88,9.82,9.88,9.88,1394300
2020-12-02,9.88,9.885,9.84,9.87,9.87,1441000
2020-12-03,9.88,9.88,9.86,9.87,9.87,513200
2020-12-04,9.88,9.89,9.86,9.88,9.88,405400
2020-12-07,9.88,9.98,9.87,9.94,9.94,2085300
2020-12-08,9.94,9.98,9.83,9.86,9.86,2296400
2020-12-09,9.89,9.97,9.84,9.92,9.92,3394300
2020-12-10,9.93,9.93,9.88,9.91,9.91,7606800
2020-12-11,9.96,9.96,9.91,9.94,9.94,900000
2020-12-14,9.96,9.98,9.94,9.98,9.98,1982500
2020-12-15,9.97,10.03,9.9,9.97,9.97,1162400
2020-12-16,9.95,10.0,9.94,9.945,9.945,1191600
2020-12-17,9.98,10.0,9.945,9.97,9.97,1483600
2020-12-18,9.98,9.98,9.95,9.96,9.96,869000
2020-12-21,9.98,10.0,9.96,9.97,9.97,532800
2020-12-22,10.03,10.03,9.97,10.0,10.0,755600
2020-12-23,10.03,10.03,9.995,10.03,10.03,2353700
2020-12-24,10.08,10.1,10.01,10.04,10.04,2093000
2020-12-28,10.11,10.18,10.04,10.08,10.08,4067900
2020-12-29,10.1,10.11,10.03,10.06,10.06,1784600
2020-12-30,10.04,10.08,10.02,10.07,10.07,3152700
2020-12-31,10.07,10.07,10.01,10.01,10.01,1266200
2021-01-04,10.03,10.08,10.02,10.04,10.04,1172700
2021-01-05,10.04,10.04,10.0,10.02,10.02,685700
2021-01-06,10.0,10.02,10.0,10.01,10.01,636600
2021-01-07,10.0,10.04,10.0,10.03,10.03,1075500
2021-01-08,10.05,10.05,10.02,10.03,10.03,738200
2021-01-11,10.05,14.0,10.03,13.2,13.2,108167500
2021-01-12,14.99,15.63,13.0,14.15,14.15,112100500
2021-01-13,15.1,17.120001,14.5,16.719999,16.719999,94091500
2021-01-14,18.709999,20.139999,16.1,17.360001,17.360001,140983000
2021-01-15,17.809999,21.0,16.200001,18.360001,18.360001,184854200
2021-01-19,18.049999,18.690001,17.5,17.9,17.9,68336400
2021-01-20,18.35,18.73,17.799999,18.059999,18.059999,27627700
2021-01-21,18.09,18.25,17.110001,17.809999,17.809999,23590500
2021-01-22,18.49,22.67,18.0,22.35,22.35,94164500
2021-01-25,26.77,27.299999,18.549999,24.950001,24.950001,117369700
2021-01-26,24.370001,24.66,22.370001,24.440001,24.440001,41562200
2021-01-27,21.290001,23.33,20.450001,21.15,21.15,44960800
2021-01-28,21.34,22.879999,20.01,22.33,22.33,33334100
2021-01-29,21.700001,24.35,21.209999,22.879999,22.879999,34280400
2021-02-01,23.639999,25.969999,22.73,25.200001,25.200001,43231900
2021-02-02,27.98,35.18,26.459999,32.139999,32.139999,100196700
2021-02-03,32.349998,34.5,27.575001,29.49,29.49,85281200
2021-02-04,29.0,31.450001,26.129999,30.219999,30.219999,45385200
2021-02-05,30.9,36.0,30.700001,34.650002,34.650002,66665300
2021-02-08,34.169998,34.98,30.299999,32.880001,32.880001,35684300
2021-02-09,31.700001,33.689999,30.219999,33.310001,33.310001,28973300
2021-02-10,32.0,34.490002,30.0,32.869999,32.869999,33355500
2021-02-11,32.25,33.16,31.200001,31.5,31.5,26350000
2021-02-12,35.040001,41.369999,33.509998,39.98,39.98,69175900
2021-02-16,38.27,55.0,36.52,52.700001,52.700001,96883400
2021-02-17,54.669998,59.5,50.299999,56.23,56.23,63907700
2021-02-18,55.810001,64.860001,55.549999,58.049999,58.049999,76982700
2021-02-19,60.09,61.970001,50.32,52.939999,52.939999,59997900
2021-02-22,62.869999,63.200001,56.080002,57.369999,57.369999,88152900
2021-02-23,35.02,43.939999,30.0,35.209999,35.209999,190447900
2021-02-24,35.639999,35.720001,27.85,28.700001,28.700001,142471900
2021-02-25,29.709999,32.380001,26.709999,27.82,27.82,82266000
2021-02-26,31.25,32.52,28.5,30.75,30.75,68871000
2021-03-01,32.490002,32.540001,29.83,30.629999,30.629999,42153800
2021-03-02,30.0,30.389999,26.559999,27.77,27.77,35676700
2021-03-03,27.65,27.969999,23.93,24.200001,24.200001,43884200
2021-03-04,23.889999,25.540001,21.434999,24.34,24.34,62235600
2021-03-05,24.52,25.18,20.4,24.4,24.4,53893400
2021-03-08,24.34,25.18,22.0,22.09,22.09,29814500
2021-03-09,23.26,25.0,22.799999,24.459999,24.459999,31214900
2021-03-10,25.105,27.26,24.309999,24.700001,24.700001,32947400
2021-03-11,25.790001,27.18,25.309999,26.84,26.84,24459400
2021-03-12,25.5,27.99,25.1,26.77,26.77,20225400
2021-03-15,27.459999,28.799999,27.030001,28.690001,28.690001,23939800
2021-03-16,31.059999,32.970001,29.200001,31.1,31.1,67588700
2021-03-17,29.690001,30.68,28.15,29.5,29.5,40917100
2021-03-18,28.799999,29.42,26.799999,26.9,26.9,22129300
2021-03-19,26.620001,27.450001,25.790001,26.879999,26.879999,19575400
2021-03-22,27.48,27.629999,26.02,26.15,26.15,16147200
2021-03-23,26.15,26.219999,23.75,24.049999,24.049999,23012600
2021-03-24,24.450001,24.48,22.24,22.559999,22.559999,24048700
2021-03-25,21.709999,24.24,21.02,24.030001,24.030001,30779800
2021-03-26,23.059999,23.92,22.07,23.02,23.02,18171700
2021-03-29,22.879999,22.959999,21.35,21.35,21.35,21663600
2021-03-30,21.18,23.65,21.07,23.51,23.51,18201200
2021-03-31,24.059999,24.228001,22.780001,23.18,23.18,15298900
2021-04-01,24.25,24.469999,23.209999,23.780001,23.780001,12839800
2021-04-05,24.549999,24.610001,23.0,23.0,23.0,13238200
2021-04-06,23.049999,24.959999,23.02,24.459999,24.459999,19840000
2021-04-07,24.110001,24.469999,22.700001,22.82,22.82,15341900
2021-04-08,23.059999,23.370001,22.66,23.16,23.16,7922300
2021-04-09,22.98,23.34,22.76,22.969999,22.969999,7636400
2021-04-12,22.93,23.450001,21.77,22.030001,22.030001,10594100
2021-04-13,21.959999,22.719999,21.57,22.09,22.09,16121600
2021-04-14,22.02,22.25,21.540001,21.73,21.73,11900800
2021-04-15,21.83,22.1,19.82,20.120001,20.120001,25602200
2021-04-16,20.07,20.5,19.25,19.52,19.52,17044000
2021-04-19,19.870001,20.33,18.68,19.540001,19.540001,19552400
2021-04-20,19.52,19.719999,18.309999,18.450001,18.450001,18227300
2021-04-21,18.299999,19.889999,17.620001,19.889999,19.889999,22545200
2021-04-22,20.200001,20.65,18.9,19.66,19.66,17422600
2021-04-23,19.700001,20.73,19.610001,20.549999,20.549999,13232800
2021-04-26,20.67,24.290001,20.41,23.870001,23.870001,55779500
2021-04-27,24.07,24.33,22.5,22.74,22.74,18122300
2021-04-28,22.549999,24.24,22.1,23.040001,23.040001,19167600
2021-04-29,23.290001,23.389999,21.530001,22.07,22.07,11527100
2021-04-30,21.35,22.030001,21.09,21.09,21.09,10569700
2021-05-03,21.190001,21.190001,19.879999,19.91,19.91,13445700
2021-05-04,19.59,19.84,18.950001,19.17,19.17,12509800
2021-05-05,19.68,19.98,19.120001,19.18,19.18,4697400
2021-05-06,19.18,19.35,18.58,18.959999,18.959999,10453500
2021-05-07,19.049999,19.719999,18.75,19.280001,19.280001,14552700
2021-05-10,19.540001,19.57,18.629999,18.639999,18.639999,9802700
2021-05-11,17.690001,18.9,17.4,18.6,18.6,14343000
2021-05-12,18.25,18.540001,17.75,17.799999,17.799999,7991200
2021-05-13,17.9,18.860001,17.25,17.25,17.25,13384700
2021-05-14,17.76,18.16,17.51,17.940001,17.940001,6623200
2021-05-17,18.23,18.709999,18.030001,18.309999,18.309999,6347900
2021-05-18,18.690001,19.67,18.52,19.379999,19.379999,11575500
2021-05-19,18.91,19.049999,18.610001,18.969999,18.969999,6402800
2021-05-20,19.17,20.049999,19.15,19.790001,19.790001,7769800
2021-05-21,20.17,20.370001,19.507999,19.809999,19.809999,6881500
2021-05-24,20.15,20.18,19.33,19.4,19.4,6796200
2021-05-25,19.6,20.58,19.129999,20.280001,20.280001,15197400
2021-05-26,20.25,21.1,19.711,19.99,19.99,15699600
2021-05-27,20.18,20.190001,19.450001,19.879999,19.879999,7189000
2021-05-28,19.549999,20.17,19.5,19.719999,19.719999,6933300
2021-06-01,20.0,22.41,19.780001,21.559999,21.559999,22530400
2021-06-02,22.049999,23.629999,21.635,23.559999,23.559999,21110800
2021-06-03,23.25,24.59,22.01,22.959999,22.959999,18875700
2021-06-04,24.07,24.33,23.379999,23.950001,23.950001,12911200
2021-06-07,24.799999,26.540001,24.309999,26.5,26.5,23162400
2021-06-08,27.299999,27.879999,24.700001,26.639999,26.639999,22753900
2021-06-09,26.879999,27.4,26.15,26.49,26.49,13900200
2021-06-10,26.469999,26.48,24.559999,25.379999,25.379999,11300500
2021-06-11,25.6,25.6,24.700001,25.139999,25.139999,7269000
2021-06-14,25.16,25.16,24.01,24.120001,24.120001,7687900
2021-06-15,23.99,24.030001,22.549999,22.610001,22.610001,11218600
2021-06-16,22.190001,24.1,22.049999,24.040001,24.040001,9957100
2021-06-17,23.440001,24.354,23.33,23.549999,23.549999,6906000
2021-06-18,23.25,23.83,23.18,23.4,23.4,4621300
2021-06-21,23.700001,23.709999,22.75,22.959999,22.959999,4965600
2021-06-22,23.02,23.6,22.450001,23.42,23.42,5874100
2021-06-23,23.790001,25.1,23.32,25.059999,25.059999,13373000
2021-06-24,25.59,26.280001,24.799999,24.85,24.85,14444600
2021-06-25,25.700001,25.950001,25.01,25.18,25.18,11453400
2021-06-28,26.23,27.379999,26.025,27.0,27.0,18705900
2021-06-29,27.34,27.4,26.219999,26.32,26.32,8562800
2021-06-30,26.200001,28.950001,25.68,28.82,28.82,19647200
2021-07-01,28.99,29.809999,27.41,27.719999,27.719999,18459200
2021-07-02,28.120001,28.190001,26.68,27.02,27.02,9188900
2021-07-06,27.5,28.0,26.35,26.379999,26.379999,9302800
2021-07-07,26.52,26.889999,24.761999,25.52,25.52,9286400
2021-07-08,23.99,25.549999,23.540001,24.959999,24.959999,9235800
2021-07-09,25.34,26.370001,25.24,25.549999,25.549999,7230200
2021-07-12,25.91,27.4,25.709999,26.85,26.85,12657400
2021-07-13,26.530001,27.110001,25.77,25.91,25.91,8561500
2021-07-14,25.4,25.700001,23.77,23.790001,23.790001,12667100
2021-07-15,24.0,24.33,22.559999,22.959999,22.959999,10345300
2021-07-16,23.4,23.85,22.299999,22.790001,22.790001,8912900
2021-07-19,21.99,22.66,20.9,22.200001,22.200001,10564400
2021-07-20,22.809999,24.74,22.15,24.280001,24.280001,12194500
2021-07-21,24.48,24.93,22.66,23.43,23.43,12470200
2021-07-22,23.33,24.18,22.299999,22.9,22.9,11069800
2021-07-23,24.02,24.549999,22.549999,24.25,24.25,17905600
2021-07-26,25.24,29.030001,24.32,26.83,26.83,31573200
2021-07-27,27.49,27.549999,25.110001,25.18,25.18,16184100
2021-07-28,25.714001,26.200001,23.98,24.08,24.08,12580400
2021-07-29,24.540001,24.698999,23.25,23.35,23.35,10494600
2021-07-30,22.948,24.23,22.940001,23.719999,23.719999,11144800
2021-08-02,24.193001,24.24,23.450001,23.77,23.77,7894400
2021-08-03,23.93,23.950001,22.955,23.58,23.58,8579400
2021-08-04,23.48,23.49,22.540001,22.629999,22.629999,7015100
2021-08-05,22.92,23.290001,22.700001,22.75,22.75,6573600
2021-08-06,22.934999,23.91,22.799999,23.379999,23.379999,7686500
2021-08-09,23.4,23.620001,23.030001,23.5,23.5,6489600
2021-08-10,23.879999,25.24,23.700001,24.459999,24.459999,11923600
2021-08-11,24.969999,25.0,24.02,24.469999,24.469999,8009100
2021-08-12,24.309999,24.5,23.809999,23.85,23.85,7499600
2021-08-13,23.709999,24.25,23.42,23.48,23.48,5877300
2021-08-16,23.045,23.32,22.43,22.83,22.83,7508600
2021-08-17,22.24,22.77,22.129999,22.559999,22.559999,7077000
2021-08-18,22.93,22.93,22.152,22.549999,22.549999,5873900
2021-08-19,22.18,22.610001,21.51,21.709999,21.709999,6603900
2021-08-20,21.750999,22.1,21.6,21.67,21.67,5277700
2021-08-23,22.01,22.110001,21.42,21.65,21.65,7098600
2021-08-24,21.940001,22.969999,21.780001,22.83,22.83,10277900
2021-08-25,22.25,22.5,21.77,21.809999,21.809999,11667300
2021-08-26,21.84,22.07,21.4,21.48,21.48,9094900
2021-08-27,21.450001,21.530001,20.9,21.030001,21.030001,11926900
2021-08-30,20.85,20.879999,19.860001,20.629999,20.629999,14999200
2021-08-31,20.280001,20.68,19.92,19.959999,19.959999,11454700
2021-09-01,16.120001,18.440001,16.120001,17.790001,17.790001,149611900
2021-09-02,18.440001,18.919001,18.0,18.66,18.66,38386700
2021-09-03,18.834999,19.76,18.67,19.559999,19.559999,25236700
2021-09-07,19.799999,19.950001,19.01,19.889999,19.889999,19835100
2021-09-08,19.93,20.025999,18.700001,18.93,18.93,20956100
2021-09-09,19.219999,20.059999,19.09,19.85,19.85,21788600
2021-09-10,20.183001,20.620001,19.9,19.93,19.93,16229100
2021-09-13,20.264999,20.59,19.66,20.059999,20.059999,15778400
2021-09-14,19.190001,19.74,18.700001,18.950001,18.950001,24118300
