Date,Open,High,Low,Close,Adj Close,Volume
1984-05-04,0.0,2.25,2.222222,2.222222,1.970525,2578950
1984-05-07,0.0,2.25,2.194444,2.194444,1.945893,102600
1984-05-08,0.0,2.222222,2.194444,2.194444,1.945893,137250
1984-05-09,0.0,2.222222,2.194444,2.194444,1.945893,741600
1984-05-10,0.0,2.194444,2.138889,2.138889,1.896631,303750
1984-05-11,0.0,2.166667,2.111111,2.111111,1.871999,228150
1984-05-14,0.0,2.194444,2.111111,2.111111,1.871999,49950
1984-05-15,0.0,2.222222,2.166667,2.166667,1.921263,43650
1984-05-16,0.0,2.222222,2.166667,2.166667,1.921263,35100
1984-05-17,0.0,2.194444,2.166667,2.166667,1.921263,65250
1984-05-18,0.0,1.944444,1.888889,1.888889,1.674947,384750
1984-05-21,0.0,1.944444,1.888889,1.888889,1.674947,225450
1984-05-22,0.0,1.944444,1.888889,1.888889,1.674947,12150
1984-05-23,0.0,1.944444,1.916667,1.916667,1.699579,14850
1984-05-24,0.0,1.944444,1.916667,1.916667,1.699579,23400
1984-05-25,0.0,1.944444,1.916667,1.916667,1.699579,158400
1984-05-29,0.0,1.972222,1.916667,1.916667,1.699579,19350
1984-05-30,0.0,1.944444,1.916667,1.916667,1.699579,33300
1984-05-31,0.0,1.944444,1.916667,1.916667,1.699579,450
1984-06-01,0.0,2.027778,1.972222,1.972222,1.748841,103050
1984-06-04,0.0,2.055556,2.0,2.0,1.773473,7200
1984-06-05,0.0,2.055556,2.027778,2.027778,1.798105,103500
1984-06-06,0.0,2.055556,2.027778,2.027778,1.798105,148950
1984-06-07,0.0,2.138889,2.083333,2.083333,1.847368,41400
1984-06-08,0.0,2.138889,2.083333,2.083333,1.847368,117450
1984-06-11,0.0,2.166667,2.083333,2.083333,1.847368,120150
1984-06-12,0.0,2.166667,2.111111,2.111111,1.871999,126450
1984-06-13,0.0,2.194444,2.111111,2.111111,1.871999,72900
1984-06-14,0.0,2.222222,2.111111,2.111111,1.871999,10350
1984-06-15,0.0,2.222222,2.111111,2.111111,1.871999,1350
1984-06-18,0.0,2.222222,2.111111,2.111111,1.871999,4500
1984-06-19,0.0,2.222222,2.138889,2.138889,1.896631,5850
1984-06-20,0.0,2.194444,2.138889,2.138889,1.896631,20700
1984-06-21,0.0,2.194444,2.138889,2.138889,1.896631,10800
1984-06-22,0.0,2.194444,2.138889,2.138889,1.896631,14850
1984-06-25,0.0,2.166667,2.111111,2.111111,1.871999,10800
1984-06-26,0.0,2.166667,2.055556,2.055556,1.822737,15300
1984-06-27,0.0,2.138889,2.055556,2.055556,1.822737,2700
1984-06-28,0.0,2.055556,2.0,2.0,1.773473,60300
1984-06-29,0.0,2.055556,2.0,2.0,1.773473,3600
1984-07-02,0.0,2.027778,2.0,2.0,1.773473,3600
1984-07-03,0.0,1.944444,1.888889,1.888889,1.674947,9000
