Date,Open,High,Low,Close,Adj Close,Volume
1984-06-01,0.0,1.425,1.4125,1.4125,1.379894,7340000
1984-06-04,0.0,1.425,1.4125,1.4125,1.379894,4067000
1984-06-05,0.0,1.4125,1.4,1.4,1.367682,2089000
1984-06-06,0.0,1.5,1.475,1.475,1.440951,1894000
1984-06-07,0.0,1.65,1.6375,1.6375,1.5997,2078000
1984-06-08,0.0,1.7625,1.7375,1.7375,1.697392,2227000
1984-06-11,0.0,1.65,1.625,1.625,1.587489,1219000
1984-06-12,0.0,1.625,1.6125,1.6125,1.575277,670000
1984-06-13,0.0,1.7,1.6875,1.6875,1.648546,1339000
1984-06-14,0.0,1.6625,1.6375,1.6375,1.5997,680000
1984-06-15,0.0,1.7,1.6875,1.6875,1.648546,704000
1984-06-18,0.0,1.75,1.7375,1.7375,1.697392,480000
1984-06-19,0.0,1.875,1.8625,1.8625,1.819506,1581000
1984-06-20,0.0,2.075,2.0625,2.0625,2.014889,2273000
1984-06-21,0.0,2.0625,2.0375,2.0375,1.990467,2039000
1984-06-22,0.0,2.275,2.2625,2.2625,2.210273,1199000
1984-06-25,0.0,2.25,2.2375,2.2375,2.185849,1579000
1984-06-26,0.0,2.3125,2.3,2.3,2.246907,1040000
1984-06-27,0.0,2.25,2.2375,2.2375,2.185849,1046000
1984-06-28,0.0,2.3625,2.35,2.35,2.295753,563000
1984-06-29,0.0,2.5625,2.5375,2.5375,2.478925,1019000
1984-07-02,0.0,2.5,2.475,2.475,2.417867,940000
1984-07-03,0.0,2.55,2.525,2.525,2.466713,339000
1984-07-05,0.0,2.6625,2.65,2.65,2.588828,1428000
1984-07-06,0.0,2.6375,2.625,2.625,2.564405,728000
1984-07-09,0.0,2.6,2.575,2.575,2.515558,963000
1984-07-10,0.0,2.525,2.5125,2.5125,2.454501,1938000
1984-07-11,0.0,2.4125,2.4,2.4,2.344598,980000
1984-07-12,0.0,2.3375,2.3375,2.3375,2.283541,1021000
1984-07-13,0.0,2.375,2.3625,2.3625,2.307965,223000
1984-07-16,0.0,2.2875,2.2625,2.2625,2.210273,473000
1984-07-17,0.0,2.35,2.3375,2.3375,2.283541,350000
1984-07-18,0.0,2.35,2.325,2.325,2.27133,150000
1984-07-19,0.0,2.1,2.0875,2.0875,2.039312,761000
1984-07-20,0.0,1.9375,1.9,1.9,1.85614,723000
1984-07-23,0.0,1.975,1.9625,1.9625,1.917198,580000
1984-07-24,0.0,1.95,1.925,1.925,1.880563,321000
1984-07-25,0.0,2.0875,2.0625,2.0625,2.014889,649000
1984-07-26,0.0,2.1625,2.15,2.15,2.10037,674000
1984-07-27,0.0,2.1375,2.125,2.125,2.075947,330000
1984-07-30,0.0,2.1375,2.1125,2.1125,2.063735,156000
1984-07-31,0.0,2.1125,2.0875,2.0875,2.039312,242000
1984-08-01,0.0,2.3625,2.35,2.35,2.295753,843000
1984-08-02,0.0,2.4875,2.475,2.475,2.417867,756000
1984-08-03,0.0,2.35,2.3375,2.3375,2.283541,1030000
1984-08-06,0.0,2.3125,2.2875,2.2875,2.234695,1028000
1984-08-07,0.0,2.375,2.225,2.375,2.320175,628000
1984-08-08,0.0,2.4375,2.35,2.35,2.295753,662000
1984-08-09,0.0,2.575,2.3375,2.5625,2.503347,798000
1984-08-10,0.0,2.7375,2.5875,2.675,2.61325,1352000
1984-08-13,0.0,2.675,2.5875,2.65,2.588828,801000
1984-08-14,0.0,2.675,2.55,2.575,2.515558,403000
1984-08-15,0.0,2.6,2.5625,2.575,2.515558,220000
1984-08-16,0.0,2.825,2.575,2.775,2.710942,1096000
1984-08-17,0.0,2.7875,2.675,2.7,2.637674,439000
1984-08-20,0.0,2.8,2.675,2.775,2.710942,350000
1984-08-21,0.0,3.05,2.8125,3.025,2.955171,1271000
1984-08-22,0.0,3.15,3.075,3.125,3.052863,2068000
1984-08-23,0.0,3.35,3.125,3.3,3.223824,2025000
1984-08-24,0.0,3.4625,3.3,3.4,3.321515,1916000
1984-08-27,0.0,3.4125,3.2625,3.2625,3.187189,956000
1984-08-28,0.0,3.3125,3.15,3.2875,3.211612,1345000
1984-08-29,0.0,3.325,3.15,3.2125,3.138343,1546000
1984-08-30,0.0,3.2125,3.025,3.0875,3.016229,1008000
1984-08-31,0.0,3.125,3.05,3.125,3.052863,384000
1984-09-04,0.0,3.4125,3.1375,3.3875,3.309303,1132000
1984-09-05,0.0,3.4875,3.3,3.4875,3.406995,1808000
1984-09-06,0.0,3.7625,3.4875,3.7,3.61459,3009000
1984-09-07,0.0,3.825,3.7125,3.75,3.663435,2191000
1984-09-10,0.0,3.7625,3.5875,3.6625,3.577955,1856000
1984-09-11,0.0,3.7875,3.675,3.75,3.663435,1121000
1984-09-12,0.0,3.7625,3.6625,3.7375,3.651224,1148000
1984-09-13,0.0,3.8125,3.725,3.7625,3.675647,735000
1984-09-14,0.0,4.05,3.775,4.0,3.907664,2282000
1984-09-17,0.0,4.05,3.925,4.0375,3.944299,842000
1984-09-18,0.0,4.0375,3.975,4.0,3.907664,778000
1984-09-19,0.0,4.0125,3.75,3.7625,3.675647,1219000
1984-09-20,0.0,3.8875,3.7,3.7875,3.70007,2045000
1984-09-21,0.0,3.875,3.775,3.825,3.736704,622000
1984-09-24,0.0,3.825,3.625,3.65,3.565744,1535000
1984-09-25,0.0,3.6375,3.425,3.5625,3.480263,2800000
1984-09-26,0.0,3.5875,2.75,2.7875,2.723154,9405000
1984-09-27,0.0,2.8,2.55,2.6875,2.625462,3114000
1984-09-28,0.0,2.75,2.6375,2.6625,2.601039,1056000
1984-10-01,0.0,2.9875,2.65,2.75,2.686519,1713000
1984-10-02,0.0,2.9,2.4625,2.4875,2.430078,2352000
1984-10-03,0.0,2.65,2.45,2.5375,2.478925,2133000
1984-10-04,0.0,2.6375,2.55,2.6125,2.552194,523000
1984-10-05,0.0,2.825,2.6125,2.75,2.686519,1567000
1984-10-08,0.0,2.8,2.7,2.775,2.710942,842000
1984-10-09,0.0,2.8625,2.55,2.65,2.588828,3885000
1984-10-10,0.0,2.65,2.475,2.65,2.588828,1454000
1984-10-11,0.0,2.7,2.5,2.55,2.491137,1131000
1984-10-12,0.0,2.625,2.5625,2.6,2.539982,380000
1984-10-15,0.0,2.7,2.575,2.675,2.61325,556000
1984-10-16,0.0,2.725,2.6625,2.7,2.637674,310000
1984-10-17,0.0,2.7,2.65,2.7,2.637674,333000
1984-10-18,0.0,2.875,2.675,2.8625,2.796422,419000
1984-10-19,0.0,3.0125,2.9125,2.925,2.85748,886000
1984-10-22,0.0,3.0125,2.9,2.9875,2.918537,298000
1984-10-23,0.0,3.0375,2.9625,3.0125,2.942959,587000
1984-10-24,0.0,3.0375,2.975,3.0,2.930748,252000
1984-10-25,0.0,3.0,2.7875,2.8375,2.772,1202000
1984-10-26,0.0,2.8,2.675,2.7,2.637674,523000
1984-10-29,0.0,2.725,2.675,2.7,2.637674,283000
1984-10-30,0.0,2.7375,2.675,2.675,2.61325,503000
1984-10-31,0.0,2.725,2.65,2.6875,2.625462,560000
1984-11-01,0.0,2.6875,2.525,2.5875,2.52777,532000
1984-11-02,0.0,2.6125,2.5,2.5375,2.478925,758000
1984-11-05,0.0,2.6125,2.4875,2.575,2.515558,369000
1984-11-06,0.0,2.725,2.625,2.6875,2.625462,1223000
1984-11-07,0.0,2.6875,2.625,2.65,2.588828,494000
1984-11-08,0.0,2.6625,2.625,2.6625,2.601039,334000
1984-11-09,0.0,2.7,2.65,2.675,2.61325,1236000
1984-11-12,0.0,2.675,2.6375,2.675,2.61325,81000
1984-11-13,0.0,2.675,2.4625,2.5,2.442291,1025000
1984-11-14,0.0,2.575,2.475,2.5625,2.503347,524000
1984-11-15,0.0,2.6125,2.5375,2.6,2.539982,317000
1984-11-16,0.0,2.6,2.5,2.5125,2.454501,374000
1984-11-19,0.0,2.5125,2.4375,2.4625,2.405656,764000
1984-11-20,0.0,2.5,2.4375,2.4875,2.430078,400000
1984-11-21,0.0,2.55,2.4625,2.55,2.491137,251000
1984-11-23,0.0,2.65,2.5625,2.625,2.564405,456000
1984-11-26,0.0,2.6375,2.6,2.6375,2.576616,181000
1984-11-27,0.0,2.7625,2.625,2.75,2.686519,602000
1984-11-28,0.0,2.8875,2.775,2.8,2.735365,804000
1984-11-29,0.0,2.7875,2.675,2.675,2.61325,665000
1984-11-30,0.0,2.8,2.6875,2.8,2.735365,864000
1984-12-03,0.0,2.8375,2.7,2.725,2.662096,620000
1984-12-04,0.0,2.775,2.725,2.75,2.686519,154000
1984-12-05,0.0,2.775,2.7375,2.775,2.710942,175000
1984-12-06,0.0,2.95,2.7625,2.9375,2.869691,1383000
1984-12-07,0.0,2.9625,2.875,2.875,2.808634,296000
