Date,Open,High,Low,Close,Adj Close,Volume
2000-06-30,0.765625,0.8625,0.53125,0.60625,0.516309,95540000
2000-07-03,0.6125,0.66875,0.610938,0.65,0.553569,9654000
2000-07-05,0.6625,0.6875,0.6375,0.65625,0.558891,8202000
2000-07-06,0.671875,0.740625,0.65625,0.7375,0.628087,8446000
2000-07-07,0.74375,0.75625,0.6875,0.69375,0.590828,4748000
2000-07-10,0.696875,0.7,0.66875,0.671875,0.572198,4172000
2000-07-11,0.664063,0.664063,0.59375,0.6,0.510987,6186000
2000-07-12,0.609375,0.64375,0.60625,0.625,0.532278,2454000
2000-07-13,0.6375,0.64375,0.571875,0.575,0.489695,6010000
2000-07-14,0.56875,0.58125,0.540625,0.546875,0.465743,6308000
2000-07-17,0.534375,0.5375,0.46875,0.475,0.404531,7264000
2000-07-18,0.479688,0.50625,0.409375,0.4125,0.351303,7556000
2000-07-19,0.41875,0.4375,0.409375,0.415625,0.353965,2886000
2000-07-20,0.409375,0.4375,0.409375,0.4375,0.372594,2390000
2000-07-21,0.461719,0.49375,0.4375,0.46875,0.399208,6068000
2000-07-24,0.46875,0.46875,0.40625,0.41875,0.356626,2786000
2000-07-25,0.40625,0.409375,0.38125,0.385938,0.328682,3162000
2000-07-26,0.375,0.38125,0.325,0.3375,0.28743,4940000
2000-07-27,0.31875,0.3375,0.28125,0.296875,0.252832,3564000
2000-07-28,0.3,0.3,0.2375,0.29375,0.25017,8902000
2000-07-31,0.280469,0.321875,0.25,0.303125,0.258155,6476000
2000-08-01,0.31875,0.31875,0.290625,0.3,0.255493,2380000
2000-08-02,0.2875,0.3125,0.278125,0.29375,0.25017,2540000
2000-08-03,0.29375,0.295313,0.278125,0.290625,0.247509,1790000
2000-08-04,0.3,0.3,0.28125,0.290625,0.247509,1170000
2000-08-07,0.289063,0.296875,0.278125,0.290625,0.247509,716000
2000-08-08,0.30625,0.309375,0.290625,0.290625,0.247509,1502000
2000-08-09,0.290625,0.30625,0.290625,0.3,0.255493,1366000
2000-08-10,0.3,0.3,0.2875,0.29375,0.25017,968000
2000-08-11,0.296875,0.296875,0.259375,0.26875,0.228879,984000
2000-08-14,0.275,0.278125,0.24375,0.25,0.212911,12756000
2000-08-15,0.248438,0.254688,0.246875,0.25,0.212911,1364000
2000-08-16,0.25,0.2625,0.246875,0.25,0.212911,2280000
2000-08-17,0.2625,0.290625,0.246875,0.28125,0.239525,1838000
2000-08-18,0.26875,0.30625,0.2625,0.30625,0.260816,2378000
2000-08-21,0.305469,0.30625,0.2875,0.3,0.255493,924000
2000-08-22,0.296875,0.321875,0.296875,0.315625,0.2688,3136000
2000-08-23,0.3125,0.3125,0.3,0.30625,0.260816,3400000
2000-08-24,0.3125,0.3125,0.290625,0.303125,0.258155,1342000
2000-08-25,0.303125,0.3625,0.303125,0.328125,0.279446,2650000
2000-08-28,0.332813,0.332813,0.3125,0.325,0.276784,1398000
2000-08-29,0.328125,0.340625,0.328125,0.33125,0.282107,1464000
2000-08-30,0.360938,0.375,0.33125,0.35,0.298076,3900000
2000-08-31,0.346875,0.382813,0.34375,0.38125,0.324689,5512000
2000-09-01,0.378125,0.3875,0.35625,0.375,0.319367,1494000
2000-09-05,0.36875,0.36875,0.34375,0.35,0.298076,1016000
2000-09-06,0.34375,0.35,0.31875,0.31875,0.271462,1028000
2000-09-07,0.325,0.3375,0.31875,0.33125,0.282107,530000
2000-09-08,0.325,0.33125,0.3125,0.3125,0.266139,494000
2000-09-11,0.31875,0.34375,0.3,0.3,0.255493,1240000
2000-09-12,0.3125,0.325,0.3,0.31875,0.271462,2880000
2000-09-13,0.31875,0.325,0.3,0.309375,0.263477,244000
2000-09-14,0.315625,0.33125,0.315625,0.33125,0.282107,886000
2000-09-15,0.329688,0.34375,0.3125,0.325,0.276784,588000
2000-09-18,0.334375,0.334375,0.3125,0.3125,0.266139,402000
2000-09-19,0.323438,0.35625,0.315625,0.35,0.298076,1022000
2000-09-20,0.35625,0.35625,0.309375,0.3125,0.266139,758000
2000-09-21,0.3125,0.323438,0.3,0.3,0.255493,2072000
