Date,Open,High,Low,Close,Adj Close,Volume
2010-08-06,13.0,14.08,12.99,14.0,13.36421,10678500
2010-08-09,14.0,14.0,13.7,14.0,13.36421,1819500
2010-08-10,13.77,13.84,13.58,13.6,12.982374,1579300
2010-08-11,13.25,13.38,12.45,12.75,12.170977,2588200
2010-08-12,12.26,12.51,12.1,12.39,11.827326,1780300
2010-08-13,12.25,12.53,11.85,12.0,11.455035,957600
2010-08-16,11.79,12.23,11.69,11.78,11.245028,551600
2010-08-17,11.86,12.3,11.75,12.22,11.665045,1086700
2010-08-18,12.08,12.6,12.0,12.0,11.455035,1010600
2010-08-19,11.95,12.1,11.31,11.55,11.025471,746000
2010-08-20,11.45,11.5,11.03,11.15,10.643637,450600
2010-08-23,11.28,11.5,10.46,10.98,10.481358,761800
2010-08-24,10.76,11.3,10.5,10.68,10.194983,746700
2010-08-25,10.5,11.13,10.23,10.75,10.261804,1112200
2010-08-26,10.94,11.15,10.8,11.0,10.500449,581400
2010-08-27,11.15,11.49,10.99,11.11,10.605453,370900
2010-08-30,11.01,11.27,11.01,11.1,10.595911,226900
2010-08-31,11.01,11.23,10.87,11.08,10.576818,236000
2010-09-01,11.08,11.95,10.76,11.73,11.197297,412800
2010-09-02,11.08,11.91,11.08,11.87,11.330941,98500
2010-09-03,11.9,12.32,11.58,11.89,11.350032,231400
2010-09-07,12.0,12.36,11.78,12.03,11.483675,468400
2010-09-08,11.49,12.18,11.42,12.16,11.607772,1483700
2010-09-09,12.21,12.63,11.51,11.9,11.359579,235600
2010-09-10,11.98,12.13,11.81,11.98,11.435944,362900
2010-09-13,12.09,12.24,11.84,11.94,11.397761,303900
2010-09-14,11.85,12.25,11.85,12.24,11.684138,250600
2010-09-15,12.52,12.92,12.35,12.47,11.903691,561100
2010-09-16,12.46,12.64,12.01,12.02,11.474129,323300
2010-09-17,12.01,12.25,11.82,12.08,11.531404,252300
2010-09-20,12.21,12.97,12.1,12.69,12.1137,404100
2010-09-21,12.61,12.85,12.36,12.51,11.941877,178800
2010-09-22,12.4,12.6,12.01,12.18,11.626862,184600
2010-09-23,12.0,12.49,11.89,12.0,11.455035,320800
2010-09-24,12.1,12.37,11.82,12.22,11.665045,146900
2010-09-27,12.17,12.39,12.02,12.25,11.693685,186600
2010-09-28,12.21,12.62,12.11,12.61,12.037334,168800
2010-09-29,12.63,12.88,12.49,12.55,11.980058,238500
2010-09-30,12.62,12.95,12.26,12.39,11.827326,196800
2010-10-01,12.47,12.77,12.26,12.36,11.798687,170500
2010-10-04,12.38,12.71,12.25,12.35,11.789142,140700
2010-10-05,12.43,12.69,12.22,12.35,11.789142,256900
2010-10-06,12.32,12.49,12.13,12.47,11.903691,90400
2010-10-07,12.5,12.5,11.61,11.85,11.311848,252800
2010-10-08,11.8,12.11,11.72,11.98,11.435944,251900
2010-10-11,11.95,12.15,11.91,12.05,11.502765,63700
2010-10-12,12.01,12.3,11.91,12.3,11.741411,59600
2010-10-13,12.31,12.33,12.02,12.07,11.521858,222000
2010-10-14,12.07,12.23,12.0,12.15,11.598224,223700
2010-10-15,12.35,12.35,11.86,11.94,11.397761,396200
2010-10-18,11.96,12.29,11.65,12.24,11.684138,53500
2010-10-19,12.06,12.25,12.01,12.11,11.56004,130100
2010-10-20,12.17,12.45,11.52,12.2,11.645955,124800
2010-10-21,12.11,12.4,12.11,12.25,11.693685,58800
2010-10-22,12.2,12.61,12.18,12.33,11.770052,94200
2010-10-25,12.2,12.59,12.2,12.37,11.808233,128300
2010-10-26,12.25,12.49,11.91,12.28,11.722319,186100
2010-10-27,12.28,12.8,12.28,12.77,12.190068,263800
2010-10-28,12.82,13.35,12.6,13.19,12.590995,409900
2010-10-29,13.16,13.47,12.88,13.19,12.590995,434600
2010-11-01,13.27,13.5,12.56,12.69,12.1137,432100
2010-11-02,12.9,13.43,12.47,13.27,12.667363,300900
2010-11-03,13.21,13.8,13.11,13.64,13.020557,359900
2010-11-04,13.74,14.0,13.53,13.97,13.335571,274600
2010-11-05,13.9,14.0,13.64,13.97,13.335571,175600
2010-11-08,14.0,14.0,13.61,13.77,13.144654,179900
2010-11-09,13.72,13.95,13.2,13.63,13.011012,269800
2010-11-10,13.6,13.73,13.05,13.32,12.71509,172300
2010-11-11,13.2,13.2,12.58,12.86,12.275979,317200
2010-11-12,12.69,13.08,12.64,12.82,12.237795,115700
2010-11-15,12.9,13.14,12.78,12.98,12.39053,51800
2010-11-16,12.73,13.27,12.63,12.84,12.256888,206500
2010-11-17,12.8,12.9,12.76,12.8,12.218707,67600
2010-11-18,13.0,13.0,12.61,12.9,12.314164,118700
2010-11-19,12.89,12.9,12.7,12.9,12.314164,74300
2010-11-22,12.85,13.32,12.84,12.99,12.400077,117700
2010-11-23,12.8,12.9,12.7,12.8,12.218707,440000
2010-11-24,12.88,12.93,12.5,12.66,12.085062,250000
2010-11-26,12.56,12.93,12.56,12.83,12.247343,348500
2010-11-29,12.81,13.11,12.6,12.73,12.151884,270100
2010-11-30,12.6,12.84,12.31,12.58,12.008697,288700
2010-12-01,12.74,13.46,12.6,13.26,12.657814,682100
2010-12-02,13.35,14.0,13.16,13.98,13.345118,273800
2010-12-03,13.98,17.280001,13.78,16.139999,15.407024,948600
2010-12-06,16.0,16.389999,15.41,15.94,15.216107,489300
2010-12-07,16.0,16.43,15.73,16.370001,15.626579,600800
2010-12-08,16.799999,18.799999,16.799999,18.440001,17.602571,1371000
2010-12-09,18.780001,20.43,18.780001,19.129999,18.261236,1187500
2010-12-10,19.200001,20.200001,18.41,19.950001,19.044001,457800
2010-12-13,20.0,20.0,18.549999,18.860001,18.0035,432800
2010-12-14,18.9,19.379999,18.280001,18.73,17.8794,689900
2010-12-15,18.700001,19.0,18.09,18.33,17.497568,437000
2010-12-16,18.42,18.67,18.190001,18.440001,17.602571,447800
2010-12-17,18.51,18.68,18.0,18.110001,17.287558,371100
2010-12-20,18.16,19.299999,18.049999,18.6,17.755312,446700
2010-12-21,18.860001,20.0,18.6,19.25,18.375788,584100
2010-12-22,19.709999,21.57,19.709999,20.25,19.330378,1489000
2010-12-23,20.200001,20.200001,19.58,20.09,19.177641,466000
2010-12-27,20.0,20.280001,19.700001,20.200001,19.282646,98500
2010-12-28,20.459999,20.809999,20.0,20.290001,19.368559,137300
2010-12-29,20.620001,20.709999,20.41,20.709999,19.769484,139000
2010-12-30,20.73,20.879999,20.620001,20.700001,19.759937,76800
2010-12-31,20.6,21.1,20.42,20.93,19.979496,94400
2011-01-03,21.200001,21.52,20.639999,21.43,20.456789,256100
2011-01-04,21.9,22.75,21.17,22.01,21.010445,952100
2011-01-05,21.870001,23.6,21.68,23.379999,22.318232,846400
2011-01-06,23.73,23.799999,22.76,23.24,22.184586,453100
2011-01-07,23.33,23.33,22.68,22.92,21.879118,300900
2011-01-10,22.75,23.610001,22.700001,23.42,22.356413,254100
2011-01-11,23.82,24.07,23.629999,24.0,22.91007,278200
2011-01-12,24.5,24.58,23.280001,23.6,22.528236,303000
2011-01-13,23.860001,23.860001,22.99,23.33,22.270498,250500
2011-01-14,23.33,23.43,22.85,23.389999,22.327776,183200
2011-01-18,23.32,23.690001,23.280001,23.58,22.509148,290500
2011-01-19,23.6,23.790001,22.52,22.959999,21.917301,416400
2011-01-20,22.75,22.75,21.49,21.67,20.685884,745900
2011-01-21,22.15,22.93,21.639999,21.969999,20.972263,678800
2011-01-24,22.059999,22.76,22.0,22.65,21.621382,486900
2011-01-25,22.65,26.18,22.65,24.280001,23.177357,1725100
2011-01-26,24.709999,26.459999,24.0,25.99,24.8097,1558000
2011-01-27,26.360001,26.84,25.5,26.08,24.895609,719400
2011-01-28,26.0,26.049999,24.25,24.57,23.454191,1013900
2011-01-31,24.809999,25.84,24.610001,25.74,24.571054,668400
2011-02-01,26.48,27.370001,25.82,27.23,25.993383,875000
