Date,Open,High,Low,Close,Adj Close,Volume
1994-09-13,4.5,4.875,4.5,4.625,4.154894,74000
1994-09-14,4.5,4.75,3.625,4.375,3.930307,335100
1994-09-15,4.5,4.546875,4.375,4.546875,4.084712,43600
1994-09-16,4.375,4.75,4.25,4.75,4.267191,171900
1994-09-19,4.875,4.875,4.875,4.875,4.379485,2100
1994-09-20,4.5,4.546875,4.25,4.375,3.930307,81000
1994-09-21,4.125,4.171875,4.125,4.171875,3.747828,8000
1994-09-22,4.375,4.375,4.375,4.375,3.930307,6100
1994-09-23,4.375,4.375,4.125,4.125,3.705717,6700
1994-09-26,4.375,4.375,4.125,4.25,3.818013,6600
1994-09-27,4.25,4.25,3.75,4.0,3.593423,205500
1994-09-28,4.125,4.125,4.125,4.125,3.705717,11600
1994-09-29,3.75,4.125,3.75,4.125,3.705717,9600
1994-09-30,4.125,4.125,4.125,4.125,3.705717,1000
1994-10-03,3.875,3.875,3.875,3.875,3.481129,9000
1994-10-04,4.0,4.0,3.625,3.625,3.25654,18300
1994-10-05,3.75,3.875,3.6875,3.6875,3.312687,21100
1994-10-06,3.875,3.875,3.625,3.875,3.481129,4000
1994-10-07,3.625,3.625,3.625,3.625,3.25654,1600
1994-10-10,3.625,3.625,3.625,3.625,3.25654,0
1994-10-11,3.625,3.625,3.625,3.625,3.25654,0
1994-10-12,3.75,3.75,3.6875,3.75,3.368834,7000
1994-10-13,3.875,3.875,3.625,3.625,3.25654,14200
1994-10-14,3.875,3.875,3.625,3.625,3.25654,8500
1994-10-17,3.625,3.625,3.625,3.625,3.25654,200
1994-10-18,3.625,3.875,3.625,3.875,3.481129,6800
1994-10-19,3.875,3.875,3.625,3.625,3.25654,5200
1994-10-20,3.625,3.625,3.625,3.625,3.25654,900
1994-10-21,3.875,3.875,3.875,3.875,3.481129,2000
1994-10-24,3.875,4.125,3.875,4.125,3.705717,27300
1994-10-25,4.0,4.0,4.0,4.0,3.593423,1200
1994-10-26,4.125,4.125,4.125,4.125,3.705717,100
1994-10-27,4.125,4.125,4.125,4.125,3.705717,12500
1994-10-28,4.125,4.125,4.125,4.125,3.705717,1500
1994-10-31,3.75,3.75,3.75,3.75,3.368834,400
1994-11-01,3.875,3.875,3.875,3.875,3.481129,2000
1994-11-02,4.0,4.0,3.75,3.75,3.368834,1300
1994-11-03,3.75,3.75,3.75,3.75,3.368834,3600
1994-11-04,3.75,3.75,3.75,3.75,3.368834,0
1994-11-07,4.0,4.0,3.75,3.75,3.368834,8000
1994-11-08,3.75,3.75,3.75,3.75,3.368834,4000
1994-11-09,3.625,3.625,3.625,3.625,3.25654,12000
1994-11-10,3.875,3.875,3.625,3.625,3.25654,20100
1994-11-11,3.625,3.625,3.625,3.625,3.25654,0
1994-11-14,3.625,3.625,3.625,3.625,3.25654,0
1994-11-15,3.5,3.875,3.5,3.5,3.144246,31400
1994-11-16,3.875,3.875,3.5,3.5,3.144246,3800
1994-11-17,3.5,3.625,3.5,3.625,3.25654,2000
1994-11-18,3.5,3.5,3.5,3.5,3.144246,9000
1994-11-21,3.5,3.5,3.5,3.5,3.144246,500
1994-11-22,3.375,3.375,2.75,2.75,2.470479,16300
1994-11-23,2.5,2.75,2.5,2.75,2.470479,3600
1994-11-25,2.5,2.5,2.125,2.5,2.24589,12500
1994-11-28,2.5,2.625,2.375,2.375,2.133595,40500
1994-11-29,2.75,2.875,2.5,2.5,2.24589,17200
1994-11-30,2.875,2.875,2.5,2.75,2.470479,7000
1994-12-01,2.875,2.875,2.5,2.5,2.24589,8500
1994-12-02,2.5,2.75,2.5,2.75,2.470479,5500
1994-12-05,2.375,2.375,2.25,2.25,2.021301,5900
1994-12-06,2.25,2.5,2.25,2.25,2.021301,4700
1994-12-07,2.25,2.25,2.25,2.25,2.021301,2600
1994-12-08,2.125,2.375,2.0,2.0,1.796712,4300
1994-12-09,2.0,2.25,1.875,1.875,1.684417,27400
1994-12-12,2.25,2.25,2.0,2.25,2.021301,4100
1994-12-13,2.125,2.125,1.875,1.875,1.684417,7000
1994-12-14,1.875,1.875,1.625,1.6875,1.515976,8300
1994-12-15,1.625,1.875,1.625,1.75,1.572123,38200
1994-12-16,1.8125,1.8125,1.6875,1.6875,1.515976,11600
1994-12-19,1.8125,1.8125,1.6875,1.75,1.572123,18000
1994-12-20,1.8125,1.875,1.75,1.875,1.684417,21400
1994-12-21,1.8125,1.875,1.75,1.875,1.684417,20800
1994-12-22,1.875,1.90625,1.6875,1.6875,1.515976,32500
1994-12-23,1.875,2.125,1.875,2.0,1.796712,58200
1994-12-27,1.875,1.875,1.75,1.875,1.684417,8400
1994-12-28,1.9375,2.0,1.875,1.875,1.684417,20500
1994-12-29,1.8125,2.0,1.75,1.875,1.684417,20100
1994-12-30,2.0,2.046875,1.75,2.03125,1.824785,111200
1995-01-03,2.125,2.125,1.875,2.125,1.909007,53500
1995-01-04,2.125,2.125,1.875,1.875,1.684417,27000
1995-01-05,1.875,2.125,1.875,2.0,1.796712,28000
1995-01-06,2.125,4.0,2.125,4.0,3.593423,420300
1995-01-09,4.375,5.375,4.125,4.875,4.379485,88200
1995-01-10,4.875,4.875,4.125,4.375,3.930307,165900
1995-01-11,4.5,4.625,3.875,4.25,3.818013,120900
1995-01-12,4.25,5.125,4.125,4.1875,3.761865,325700
1995-01-13,4.4375,4.5625,4.0,4.1875,3.761865,86800
1995-01-16,4.5,4.5,3.875,3.875,3.481129,19800
1995-01-17,3.9375,4.125,3.375,3.625,3.25654,49000
1995-01-18,3.125,3.125,3.125,3.125,2.807362,9000
1995-01-19,3.125,3.6875,3.125,3.375,3.031951,16400
1995-01-20,3.625,3.75,3.4375,3.75,3.368834,12200
1995-01-23,3.5625,3.8125,3.5,3.75,3.368834,15600
1995-01-24,3.5,3.5625,3.0625,3.25,2.919656,26700
1995-01-25,3.375,3.4375,3.125,3.4375,3.088099,9700
1995-01-26,3.5,3.5,3.375,3.375,3.031951,2600
1995-01-27,3.5625,3.5625,3.375,3.5625,3.200392,4900
1995-01-30,3.5625,3.625,3.25,3.4375,3.088099,48200
1995-01-31,3.5,3.625,3.4375,3.625,3.25654,15500
1995-02-01,3.75,3.875,3.5,3.625,3.25654,36300
1995-02-02,3.625,3.625,3.625,3.625,3.25654,0
1995-02-03,3.5,3.625,3.5,3.625,3.25654,5800
1995-02-06,3.8125,4.125,3.5,4.0625,3.649571,98000
1995-02-07,4.0625,4.4375,4.0,4.25,3.818013,111400
1995-02-08,4.375,4.375,4.0625,4.0625,3.649571,22300
1995-02-09,4.375,4.625,4.3125,4.5,4.042602,47500
1995-02-10,4.4375,4.8125,4.375,4.5625,4.09875,36900
1995-02-13,4.75,4.75,4.375,4.5,4.042602,16400
1995-02-14,4.375,4.375,4.125,4.125,3.705717,20000
1995-02-15,4.5,4.5,4.0625,4.125,3.705717,67800
1995-02-16,4.25,4.25,4.125,4.25,3.818013,35200
1995-02-17,4.3125,4.3125,4.125,4.25,3.818013,2400
1995-02-21,4.3125,4.3125,4.125,4.1875,3.761865,11100
1995-02-22,4.25,4.25,4.125,4.1875,3.761865,42900
1995-02-23,4.25,4.25,4.125,4.125,3.705717,24600
1995-02-24,4.21875,4.21875,4.125,4.125,3.705717,10100
1995-02-27,4.125,4.1875,4.0625,4.0625,3.649571,84400
1995-02-28,4.0625,4.125,4.0625,4.125,3.705717,37000
1995-03-01,4.0625,4.0625,4.0625,4.0625,3.649571,1300
1995-03-02,4.0625,4.0625,4.0625,4.0625,3.649571,0
1995-03-03,4.0625,4.0625,4.0625,4.0625,3.649571,2900
1995-03-06,4.0625,4.1875,4.0625,4.09375,3.677645,46300
1995-03-07,4.09375,4.09375,4.0625,4.0625,3.649571,11600
1995-03-08,4.1875,4.1875,4.0625,4.0625,3.649571,12600
1995-03-09,4.1875,4.1875,4.0625,4.1875,3.761865,3000
1995-03-10,4.1875,4.1875,4.0625,4.0625,3.649571,27000
1995-03-13,4.1875,4.1875,4.1875,4.1875,3.761865,6200
1995-03-14,4.09375,4.09375,4.09375,4.09375,3.677645,500
1995-03-15,4.25,4.25,4.25,4.25,3.818013,1000
1995-03-16,4.25,4.25,4.0625,4.0625,3.649571,2600
1995-03-17,4.0625,4.25,4.0625,4.1875,3.761865,13200
1995-03-20,4.0,4.1875,4.0,4.1875,3.761865,5900
1995-03-21,4.0,4.125,4.0,4.125,3.705717,9000
1995-03-22,4.0,4.0625,4.0,4.0625,3.649571,5400
1995-03-23,4.0625,4.0625,3.75,4.0625,3.649571,18600
1995-03-24,4.0625,4.0625,4.0625,4.0625,3.649571,0
1995-03-27,3.875,4.0625,3.875,4.0625,3.649571,70000
1995-03-28,4.125,4.125,3.9375,3.9375,3.537276,400
1995-03-29,4.125,4.125,4.0,4.0,3.593423,10200
1995-03-30,4.0,4.0625,3.9375,3.9375,3.537276,4900
1995-03-31,3.9375,4.0625,3.9375,3.9375,3.537276,18000
1995-04-03,4.0625,4.0625,4.0625,4.0625,3.649571,100
1995-04-04,4.0625,4.0625,4.0625,4.0625,3.649571,400
1995-04-05,3.9375,4.0,3.875,4.0,3.593423,34400
1995-04-06,4.0625,4.0625,3.9375,3.9375,3.537276,800
1995-04-07,3.9375,4.0625,3.9375,4.0625,3.649571,9000
1995-04-10,4.0,4.0,3.9375,3.9375,3.537276,21200
1995-04-11,4.0,4.0,4.0,4.0,3.593423,2100
1995-04-12,4.0,4.0,4.0,4.0,3.593423,1700
1995-04-13,4.0,4.0,3.875,4.0,3.593423,13600
1995-04-17,4.0,4.0625,3.9375,4.0625,3.649571,37900
1995-04-18,4.0625,4.0625,3.9375,4.0,3.593423,13900
1995-04-19,4.0,4.0,4.0,4.0,3.593423,0
1995-04-20,3.875,4.0625,3.875,4.0625,3.649571,2000
1995-04-21,3.9375,4.0625,3.9375,4.0625,3.649571,6000
1995-04-24,3.9375,4.0625,3.9375,4.0625,3.649571,8200
1995-04-25,4.0625,4.0625,3.875,3.9375,3.537276,9200
1995-04-26,3.875,3.9375,3.875,3.9375,3.537276,4000
1995-04-27,3.9375,3.9375,3.9375,3.9375,3.537276,0
1995-04-28,3.9375,3.9375,3.9375,3.9375,3.537276,0
1995-05-01,3.4375,3.875,3.4375,3.75,3.368834,12900
1995-05-02,3.75,3.75,3.75,3.75,3.368834,0
1995-05-03,3.4375,3.4375,3.4375,3.4375,3.088099,100
1995-05-04,3.8125,3.8125,3.5,3.5,3.144246,8200
1995-05-05,3.5,3.6875,3.5,3.6875,3.312687,7600
1995-05-08,3.5625,3.8125,3.5625,3.6875,3.312687,3200
1995-05-09,3.8125,3.8125,3.8125,3.8125,3.424982,100
1995-05-10,3.8125,3.8125,3.8125,3.8125,3.424982,600
1995-05-11,3.5625,3.625,3.5625,3.625,3.25654,2500
1995-05-12,3.625,3.6875,3.625,3.625,3.25654,7500
1995-05-15,3.625,3.625,3.625,3.625,3.25654,2500
1995-05-16,3.625,3.8125,3.625,3.8125,3.424982,2000
1995-05-17,3.75,3.75,3.625,3.625,3.25654,4500
1995-05-18,3.8125,3.8125,3.5,3.75,3.368834,14900
1995-05-19,3.375,3.625,3.25,3.5625,3.200392,48900
1995-05-22,3.375,3.625,3.375,3.4375,3.088099,31600
